BookId,Title,Description,Author,Publisher
7870eac5-9ee6-493a-8d93-923c9afef2e4,No Time for Comedy,Computerized Dynamic Posturography Assessment,Easter Shovel,Zoombeat
1e3159e1-1982-4337-80da-879ea739f4cc,"Last Drop, The","Lower Veins, Bypass",Judas Currum,Blogtag
735cac98-ea59-40e3-8812-16be23332129,Fame,"Occlusion of Abdominal Aorta, Perc Endo Approach",Clayton Wingeat,Podcat
e269752d-03c9-4136-869d-2c2eff8bf4f1,"Mighty, The","Insertion of Hear Dev into L Inner Ear, Perc Endo Approach",Venus Cattini,Camido
04a78c64-d2a2-43e7-9926-dda0962d04cf,Friday Night Lights,"Insertion of Infusion Dev into R Verteb Vein, Open Approach",Gianina Mathevon,Kimia
bef332d0-a6b5-4a6d-a9c4-e02650d795f5,AVPR: Aliens vs. Predator - Requiem,"Occlusion of Intracranial Vein, Perc Endo Approach",Brynn Stebles,Gabspot
515f907e-10a5-4865-a2c7-ff3bd2eeff55,Thomas and the Magic Railroad,"Radiation Therapy, Resp Sys, Stereo Radiosurg",Jayne Hallaways,Skiba
8fbb3d8d-4c52-44b2-8833-a26730955db9,Twilight of the Ice Nymphs,"Bypass L Ext Iliac Art to L Int Ilia w Autol Vn, Perc Endo",Hiram Caff,LiveZ
387bb683-5692-40d3-a1ec-e7a3581f1062,"Secret Six, The","Drainage of Left Hypogastric Vein, Open Approach",Megen Gillam,Katz
f06f6f9b-a5b6-4043-9336-b7e78babfad2,Kiss and Tell,"Reposition Trochlear Nerve, Percutaneous Endoscopic Approach",Zechariah Manderson,Buzzster
b6da2d01-af3b-4b55-bd55-e42b96fa3b45,Ballou,"Removal of Int Fix from L Tarsal, Open Approach",Jarid Doers,Demivee
7f2c5521-2cc6-4ff5-be04-d17a13a1b499,Killer at Large,"Removal of Autol Sub from L Low Extrem, Extern Approach",Lorette Staples,Browsetype
c79d6d95-00f1-45df-9de0-c06f7c23e067,2016: Obama's America,"Occlusion of Right Colic Artery, Percutaneous Approach",Dorie Wiseman,Kwimbee
876858f9-db6d-4486-98eb-d625d14b2ea5,Still Walking (Aruitemo aruitemo),"Insertion of Int Fix into R Metacarpophal Jt, Perc Approach",Janette Kegan,Yakidoo
a7a0fb56-7693-4ad3-a8b7-0d31f7dcb8c8,Space Jam,"Extirpation of Matter from C-thor Disc, Perc Endo Approach",Beatriz Sloyan,Divavu
11ebb809-7c92-4b50-bb3d-ad30164cc0fb,Little Lili (La petite Lili),"Drainage of Penis with Drainage Device, External Approach",Gregor Kimmins,Skinder
d831ce95-abbe-4f7d-a47e-68c466da5019,Only the Strong Survive - A Celebration of Soul,"Reattachment of Descending Colon, Open Approach",Ciro Bauduin,Ooba
12f5376e-93a0-4f6e-86ef-9309546df98e,Jo Pour Jonathan,"Insertion of Infusion Dev into Thor Disc, Perc Endo Approach",Trstram Davioud,Thoughtsphere
26ef4e3e-4922-494b-b79a-409ecde07119,Youth in Revolt,"Fusion of Sacrococcygeal Joint with Synth Sub, Open Approach",Hardy Purse,Fiveclub
43483bf5-8e22-47f1-bf79-5984a7dd62c1,Changeling,"Revision of Nonaut Sub in L Thumb Phalanx, Perc Approach",Thatcher Avrahamoff,Photobug
36ad1c17-bedc-44e7-8367-c0b1f1317a1c,Raiders From Beneath the Sea,"Bypass R Pulm Art from Carotid with Autol Vn, Open Approach",Adrian Airton,Jaloo
0e3e077b-a357-4596-b2d7-3ed40d64f7e2,Deathdream (a.k.a. Dead of Night),"Bypass Ileum to Cecum with Autol Sub, Endo",Elwood Metcalfe,Photobug
d4192dae-991d-4a9e-9af3-aff1e7a577bf,Path to War,"Supplement Nasal Bone with Synth Sub, Perc Approach",Demetra Arthur,Photofeed
f15c2d7f-7edc-4c35-b465-b40582b4db35,Justice League: War,"Restrict Thor Aorta Desc w Fenestr Dev 3+, Open",Brion Chucks,Bluejam
ab6dbfea-f0f3-4a32-9a43-760746ea44e8,Secuestrados (Kidnapped),"Control Bleeding in Genitourinary Tract, Perc Approach",Christophorus Chippindale,Janyx
c1f51952-e169-46a4-96ed-d4f81aaed7f5,How She Move,"Removal of Int Fix from Lum Vertebra, Open Approach",Shalom Blaney,Yakijo
c054447f-fbcb-4b79-b71a-593e8408481c,You Light Up My Life,Beam Radiation of Rib(s) using Neutrons,Fraze Jeannesson,Roombo
fbee91a3-9f30-4e93-a7e6-4d7d211e3214,Earthquake,"Drainage of Left Orbit with Drainage Device, Open Approach",Godwin Partridge,Jaxbean
6c097fe6-0381-483a-b6ef-fda752f8d403,The First Men in the Moon,"Fluoroscopy of Inferior Vena Cava, Guidance",Egan Szach,Vimbo
2933e593-d919-46ab-ab35-e0fa250caae0,Empire,"Drainage of Upper Artery with Drain Dev, Perc Endo Approach",Clemente Bonhome,Brainbox
71064d0c-ddc2-4911-8977-ef930b840ce2,Trail of the Pink Panther,Tomo Nucl Med Imag of Skull using Oth Radionuclide,Hestia Wilcox,Quatz
c779d4c2-ed30-4641-ac29-8d794f29db91,Between Heaven and Hell,"Supplement L Pulm Art with Nonaut Sub, Open Approach",Glendon Treversh,Photobean
00c4062b-9820-4965-8cd5-a84b112b48fa,Diverted,"Irrigation of Female Reproductive using Irrigat, Endo",Tasha Prowse,Thoughtbridge
a867687a-260f-4818-9ea8-beecaf22d14d,"Combat dans L'Ile, Le (Fire and Ice)","Drainage of Nasal Turbinate, Perc Endo Approach, Diagn",Brnaba Sigmund,Kimia
ca50099b-d405-4826-b6ee-ddcd879c09b7,Täällä Pohjantähden alla II ,"Bypass Left Femoral Artery to Peron Art, Perc Endo Approach",Sinclare Botcherby,Skajo
3b9c8ca1-17ed-472f-8373-13f4c2fd97ef,Stefano Quantestorie,"Dilation of Celiac Art with 4 Drug-elut, Perc Endo Approach",Beverlee McCartan,Yakijo
ed0c1d70-06f5-4d56-b5a3-d6f3f913a014,Magic Town,Low Dose Rate (LDR) Brachytherapy of Cervix using Iodine 125,Yorker Turbill,Ailane
7b41b3aa-c9e8-4253-b6ba-571592854aed,Wing and a Prayer,"Supplement Post Neck Subcu/Fascia w Autol Sub, Perc",Sheila Kernar,Blogtags
3672d24d-a04c-458e-b2f1-426d28f982a0,Salsa,"Division of Right Orbit, Percutaneous Approach",Lora Kerins,Midel
732e5e21-e812-4651-9063-3625fed3d2c8,Steal This Movie!,"Dilation of R Fem Art with 4 Drug-elut, Open Approach",Hoebart Cassells,Babbleset
fb0d1716-46e2-4113-ad3f-c304b6674a2a,Ten Minutes Older,"Removal of Synth Sub from Chest Wall, Perc Endo Approach",Cynthie Burkman,Voonyx
4c606fa2-d6c4-47c6-b2ab-25a98ec557f2,Hollywood Homicide,"Release Superior Mesenteric Artery, Percutaneous Approach",Raquel Liell,Skinder
